时刻(Hour),出行概率(Driving),充电概率(Charging),停车概率(Parked)
0.0,0.002302723953945521,0.9479921370401573,0.04970513900589722
0.5,0.0031451839370963213,0.9491154170176916,0.047739399045212016
1.0,0.0015164279696714407,0.951642796967144,0.0468407750631845
1.5,0.002302723953945521,0.9522606009547879,0.0454366750912665
2.0,0.0016287559674248806,0.9537208649255827,0.04465037910699242
2.5,0.0012356079752878404,0.9543948329121034,0.04436955911260882
3.0,0.0006739679865206403,0.9553496208930076,0.04397641112047178
3.5,0.0008424599831508003,0.9556866048862679,0.0434709351305813
4.0,0.0037068239258635214,0.9541140129177197,0.04217916315641674
4.5,0.008705419825891604,0.9486099410278012,0.04268463914630722
5.0,0.014883459702330806,0.9411962931760741,0.043920247121595056
5.5,0.02555461948890761,0.9273237854535243,0.0471215950575681
6.0,0.03291210334175793,0.9144622297107554,0.05262566694748666
6.5,0.05593934288121314,0.886661050266779,0.057399606852007866
7.0,0.07396798652064027,0.8577927548441449,0.06823925863521482
7.5,0.10300477393990452,0.81404099971918,0.08295422634091547
8.0,0.10395956192080877,0.7860151642796968,0.11002527379949452
8.5,0.08570626228587476,0.780342600393148,0.13395113732097724
9.0,0.08767200224655995,0.7597304128053918,0.15259758494804831
9.5,0.08233642235327156,0.7449031171019377,0.1727604605447908
10.0,0.09238977815220444,0.7173827576523448,0.19022746419545072
10.5,0.08098848638023028,0.7066554338668913,0.2123560797528784
11.0,0.09194046616119067,0.6898623982027521,0.21819713563605728
11.5,0.09008705419825892,0.6846953103060938,0.2252176354956473
12.0,0.09856781802864364,0.6752597584948048,0.22617242347655153
12.5,0.09092951418140971,0.683852850322943,0.2252176354956473
13.0,0.09502948609941028,0.6907610221847795,0.21420949171581016
13.5,0.09014321819713564,0.6977253580454928,0.2121314237573715
14.0,0.10019657399606852,0.6963774220724516,0.20342600393147992
14.5,0.1015445099691098,0.6977253580454928,0.20073013198539735
15.0,0.11552934568941309,0.6975007020499859,0.18696995226060095
15.5,0.11193484976130301,0.7099691098006178,0.1780960404380792
16.0,0.12283066554338669,0.7144060657118787,0.16276326874473462
16.5,0.1164279696714406,0.728784049424319,0.15478798090424037
17.0,0.1323785453524291,0.7210895815782083,0.14653187306936255
17.5,0.12058410558831789,0.7356360572872789,0.14377983712440326
18.0,0.10384723392305532,0.7490592530188149,0.14709351305812973
18.5,0.08093232238135355,0.7657399606852008,0.15332771693344566
19.0,0.06728447065431059,0.7787138444257231,0.1540016849199663
19.5,0.047402415051951696,0.8034821679303566,0.14911541701769165
20.0,0.040438079191238416,0.8239258635214828,0.13563605728727884
20.5,0.03240662735186745,0.8480202190395956,0.11957315360853693
21.0,0.030609379387812413,0.8731255265374894,0.09626509407469812
21.5,0.02538612749227745,0.8990732940185341,0.07554057848918844
22.0,0.020443695591126087,0.9178320696433586,0.06172423476551531
22.5,0.013928671721426566,0.9332771693344566,0.05279415894411682
23.0,0.009379387812412245,0.9420387531592249,0.04858185902836282
23.5,0.005167087896658242,0.9488345970233081,0.0459983150800337
24.0,0.0,0.0,0.0
